round,global_weight_drift_l2
1,0.004561801856750728
2,0.0002697555697067906
3,0.00029957838944240687
4,0.00018399041276979104
5,0.00026444375660110024
6,0.0002942975050133429
7,0.00015057531433314387
8,0.00015647359873316696
9,0.0001286643410748521
10,0.0001286468187744343
11,0.0003203381541941224
12,0.00014657541154876048
13,0.00023886044904454019
14,0.0001793160083128189
15,0.00020992133619914395
16,0.00023877698878043015
17,0.00045156197769097924
18,0.0002524310780881021
19,0.00011458215043589124
20,0.0001871036719567017
21,0.00019694296033528007
22,0.0001506852373029472
23,0.00018118182947165866
24,0.00013322154781573184
25,0.00015267700763478475
